Virginia,8001024
Virginia Beach ,437994
Norfolk ,242803
Chesapeake ,222209
Richmond ,204214
Newport News ,180719
Alexandria ,139966
Hampton ,137436
Roanoke ,97032
Portsmouth ,95535
Suffolk ,84585
Lynchburg ,75568
Harrisonburg ,48914
Charlottesville ,43475
Danville ,43055
Blacksburg ,42620
Leesburg ,42616
Manassas ,37821
Petersburg ,32420
Winchester ,26203
Salem ,24802
Fredericksburg ,24286
Staunton ,23746
Herndon ,23292
Hopewell ,22591
Fairfax ,22565
Christiansburg ,21041
Waynesboro ,21006
Bristol ,17835
Colonial Heights ,17411
Radford ,16408
Culpeper ,16379
Vienna ,15687
Front Royal ,14440
Manassas Park ,14273
Williamsburg ,14068
Martinsville ,13821
Falls Church ,12332
Poquoson ,12150
Warrenton ,9611
Pulaski ,9086
Franklin ,8582
Farmville ,8216
Wytheville ,8211
Abingdon ,8191
South Boston ,8142
Vinton ,8098
Smithfield ,8089
Purcellville ,7727
Ashland ,7225
Galax ,7042
Lexington ,7042
Buena Vista ,6650
Strasburg ,6398
Bedford ,6222
Marion ,5968
Covington ,5961
Emporia ,5927
Richlands ,5823
Bridgewater ,5644
Big Stone Gap ,5614
Bluefield ,5444
Woodstock ,5097
Dumfries ,4961
Luray ,4895
Rocky Mount ,4799
Orange ,4721
South Hill ,4650
Tazewell ,4627
Berryville ,4185
Norton ,3958
Clifton Forge ,3884
Broadway ,3691
Blackstone ,3621
Colonial Beach ,3542
Altavista ,3450
Lebanon ,3424
West Point ,3306
Wise ,3286
Chincoteague ,2941
Pearisburg ,2786
Elkton ,2726
Hillsville ,2681
Grottoes ,2668
Windsor ,2626
Dublin ,2534
Timberville ,2522
Tappahannock ,2375
Shenandoah ,2373
Chase  ,2351
Crewe ,2326
Amherst ,2231
Waverly ,2149
New Market ,2146
Coeburn ,2139
Saltville ,2077
Gate  ,2034
Narrows ,2029
Mount Jackson ,1994
Stephens  ,1829
Haymarket ,1782
Chilhowie ,1781
Pennington Gap ,1781
Appalachia ,1754
Appomattox ,1733
Victoria ,1725
Stanley ,1689
Lovettsville ,1613
Louisa ,1555
Dayton ,1530
Warsaw ,1512
Gordonsville ,1496
Kilmarnock ,1487
Rural Retreat ,1483
Exmore ,1460
Glade Spring ,1456
Honaker ,1449
Lawrenceville ,1438
Clintwood ,1414
Stuart ,1408
Weber  ,1327
Halifax ,1309
Hurt ,1304
Courtland ,1284
Chatham ,1269
Gretna ,1267
Middle ,1265
Onancock ,1263
Kenbridge ,1257
Buchanan ,1178
Clarksville ,1139
Cedar Bluff ,1137
Glasgow ,1133
Pembroke ,1128
Brookneal ,1112
Bowling Green ,1111
Edinburg ,1041
Pound ,1037
Jonesville ,1034
Grundy ,1021
Cape Charles ,1009
St. Paul ,970
Independence ,947
Occoquan ,934
Wakefield ,927
Craigsville ,923
Parksley ,842
Keysville ,832
Damascus ,814
Rich Creek ,774
Ridgeway ,742
Tangier ,727
Middleburg ,673
Jarratt ,638
La Crosse ,604
Remington ,598
Boyce ,589
Scottsville ,566
Boykins ,564
Charlotte Court House ,543
Round Hill ,539
Belle Haven ,532
Drakes Branch ,530
Accomac ,519
Onley ,516
Hamilton ,506
Nassawadox ,499
Haysi ,498
Cheriton ,487
Fries ,484
McKenney ,483
Quantico ,480
Urbanna ,476
Mineral ,467
Dillwyn ,447
Mount Crawford ,433
Burkeville ,432
Irvington ,432
Boydton ,431
Troutville ,431
Floyd ,425
Melfa ,408
Pocahontas ,389
Iron Gate ,388
Bloxom ,387
Montross ,384
Nickelsville ,383
Claremont ,378
Stanardsville ,367
Goshen ,361
Fincastle ,353
White Stone ,352
Ivor ,339
Clinchco ,337
Dungannon ,332
Newsoms ,321
Eastville ,305
Alberta ,298
Brodnax ,298
Clifton ,282
Dendron ,272
Toms Brook ,258
Surry ,244
Saxis ,241
Boones Mill ,239
Wachapreague ,232
Madison ,229
Painter ,229
Phenix ,226
Pamplin  ,219
The Plains ,217
Hallwood ,206
Cleveland ,202
Stony Creek ,198
Keller ,178
Troutdale ,178
Capron ,166
Virgilina ,154
New Castle ,153
Monterey ,147
Washington ,135
St. Charles ,128
Port Royal ,126
Scottsburg ,119
Glen Lyn ,115
Branchville ,114
Duffield ,91
Columbia ,83
Hillsboro ,80
Clinchport ,70
